CustomerID,CustomerName,Gender,Age,Marital_Status,State,City,Occupation,Product_Name,Price,Quantity_Sold,Discount(%),PaymentMode,Date,Total_Amount,Profit
3121,Customer_10,Male,54,Single,Madhya Pradesh,Mumbai,Student,Bombs,336,2,0,Debit Card,2024-10-29,672.0,69.47776616115968
3466,Customer_11,Female,43,Single,Uttar Pradesh,Bhopal,Healthcare,Bombs,447,2,9,Net Banking,2024-11-01,813.5400000000001,206.66490231857358
3330,Customer_13,Male,26,Married,Uttar Pradesh,Mumbai,Healthcare,Bombs,729,2,4,Debit Card,2024-10-25,1399.6799999999998,173.6183308910976
3130,Customer_20,Female,57,Married,Delhi,Mumbai,IT,Bombs,555,2,1,Debit Card,2024-10-30,1098.9,191.59086223451328
3491,Customer_25,Male,39,Single,Maharashtra,Mumbai,Student,Bombs,837,4,21,Net Banking,2024-10-29,2644.92,712.5736245012512
3385,Customer_28,Male,29,Single,Bihar,Lucknow,Healthcare,Bombs,213,3,14,Cash,2024-10-28,549.54,141.03377120882536
3276,Customer_31,Female,54,Single,Uttar Pradesh,Patna,Business,Bombs,440,3,9,Debit Card,2024-10-30,1201.2,215.73679157938975
3160,Customer_32,Male,39,Single,Bihar,Lucknow,Business,Bombs,869,1,2,Net Banking,2024-10-25,851.62,136.7558185977847
3313,Customer_34,Male,31,Single,Uttar Pradesh,Patna,Student,Bombs,1068,4,16,Credit Card,2024-10-27,3588.48,522.6516074379739
3058,Customer_41,Male,43,Married,Madhya Pradesh,Delhi,IT,Bombs,441,2,21,Debit Card,2024-10-30,696.7800000000001,201.05229021167912
3189,Customer_48,Female,54,Married,Delhi,Delhi,Healthcare,Bombs,693,4,19,UPI,2024-10-25,2245.32,325.7426137361903
3566,Customer_54,Male,48,Single,Uttar Pradesh,Mumbai,Education,Bombs,498,4,24,Cash,2024-10-31,1513.92,195.8899570599565
3818,Customer_60,Male,21,Married,Bihar,Delhi,IT,Bombs,892,3,9,Debit Card,2024-10-25,2435.1600000000003,411.6356516873524
3020,Customer_62,Female,41,Married,Delhi,Bhopal,Education,Bombs,921,4,2,Cash,2024-10-25,3610.3199999999997,570.7948453831284
3840,Customer_63,Female,33,Married,Maharashtra,Delhi,Healthcare,Bombs,263,1,5,Cash,2024-11-01,249.85,48.4703137598521
3508,Customer_81,Male,46,Single,Delhi,Lucknow,Education,Bombs,191,4,4,Net Banking,2024-11-01,733.4399999999999,153.52030781043325
3775,Customer_82,Male,30,Married,Delhi,Delhi,IT,Bombs,642,4,20,Net Banking,2024-11-02,2054.4,383.2754389878267
3389,Customer_92,Female,43,Single,Uttar Pradesh,Patna,Student,Bombs,566,2,9,Net Banking,2024-10-27,1030.1200000000001,152.865096296439
3105,Customer_94,Male,43,Single,Bihar,Delhi,Education,Bombs,1110,2,5,Credit Card,2024-10-28,2109.0,293.9632621384561
3771,Customer_95,Male,51,Married,Delhi,Delhi,IT,Bombs,877,1,11,Cash,2024-11-02,780.53,226.57690197634417
3729,Customer_100,Female,46,Married,Bihar,Lucknow,Education,Bombs,1179,4,12,Net Banking,2024-11-01,4150.08,630.4318327046858
3995,Customer_105,Male,27,Married,Madhya Pradesh,Lucknow,Business,Bombs,289,1,5,Debit Card,2024-10-27,274.55,81.3314750166176
3815,Customer_108,Male,41,Single,Bihar,Mumbai,IT,Bombs,499,2,22,Net Banking,2024-10-31,778.44,219.1929474059614
3726,Customer_112,Female,35,Single,Madhya Pradesh,Mumbai,Education,Bombs,200,3,10,Net Banking,2024-10-30,540.0,159.54925406308237
3724,Customer_116,Female,40,Single,Delhi,Mumbai,Student,Bombs,223,3,13,Net Banking,2024-10-26,582.03,141.82105880035348
