CustomerID,CustomerName,Gender,Age,Marital_Status,State,City,Occupation,Product_Name,Price,Quantity_Sold,Discount(%),PaymentMode,Date,Total_Amount,Profit
3102,Customer_1,Female,33,Married,Delhi,Mumbai,Student,Rockets,545,3,6,Net Banking,2024-10-26,1536.8999999999999,449.85039666402685
3435,Customer_2,Female,30,Married,Bihar,Mumbai,Education,Chakri,769,3,21,Cash,2024-11-01,1822.53,371.44338030090125
3860,Customer_3,Male,59,Single,Madhya Pradesh,Patna,Student,Rockets,732,2,16,Debit Card,2024-10-30,1229.76,289.61887576606443
3270,Customer_4,Female,47,Married,Bihar,Patna,Healthcare,Sparklers,154,1,16,Credit Card,2024-11-02,129.35999999999999,21.0045417320256
3106,Customer_5,Male,36,Single,Maharashtra,Mumbai,IT,Sparklers,1011,4,1,Credit Card,2024-11-01,4003.56,1020.1001843834546
3071,Customer_6,Male,34,Married,Madhya Pradesh,Patna,Education,Rockets,1135,1,5,UPI,2024-11-03,1078.25,274.5055175665842
3700,Customer_7,Female,36,Married,Delhi,Delhi,Healthcare,Rockets,756,1,13,Net Banking,2024-10-27,657.72,134.34536729261603
3020,Customer_8,Male,45,Married,Madhya Pradesh,Mumbai,Healthcare,Sparklers,1079,4,5,Net Banking,2024-10-29,4100.2,1210.3903756418863
3614,Customer_9,Male,43,Married,Uttar Pradesh,Patna,Education,Chakri,614,4,1,Net Banking,2024-10-31,2431.44,304.19756283650116
3121,Customer_10,Male,54,Single,Madhya Pradesh,Mumbai,Student,Bombs,336,2,0,Debit Card,2024-10-29,672.0,69.47776616115968
3466,Customer_11,Female,43,Single,Uttar Pradesh,Bhopal,Healthcare,Bombs,447,2,9,Net Banking,2024-11-01,813.5400000000001,206.66490231857358
3214,Customer_12,Female,40,Married,Madhya Pradesh,Lucknow,Business,Rockets,726,2,20,Credit Card,2024-10-29,1161.6000000000001,303.6783744406095
3330,Customer_13,Male,26,Married,Uttar Pradesh,Mumbai,Healthcare,Bombs,729,2,4,Debit Card,2024-10-25,1399.6799999999998,173.6183308910976
3458,Customer_14,Female,29,Single,Maharashtra,Lucknow,Student,Sparklers,463,2,1,Cash,2024-10-29,916.74,140.3680812572945
3087,Customer_15,Female,18,Single,Bihar,Patna,Student,Sparklers,420,4,21,Net Banking,2024-10-28,1327.2,137.37909933203798
3372,Customer_16,Female,18,Single,Delhi,Lucknow,Business,Rockets,385,1,15,Net Banking,2024-10-30,327.25,51.92204857558796
3099,Customer_17,Female,51,Single,Madhya Pradesh,Mumbai,Healthcare,Rockets,248,2,24,Cash,2024-10-27,376.96,95.98471215847647
3871,Customer_18,Male,49,Married,Bihar,Bhopal,Student,Rockets,505,2,1,Net Banking,2024-10-29,999.9,203.57174633196152
3663,Customer_19,Male,42,Single,Delhi,Patna,Education,Chakri,1077,1,9,Cash,2024-10-26,980.07,166.23860959928882
3130,Customer_20,Female,57,Married,Delhi,Mumbai,IT,Bombs,555,2,1,Debit Card,2024-10-30,1098.9,191.59086223451328
3661,Customer_21,Female,18,Single,Uttar Pradesh,Patna,IT,Rockets,899,1,15,Credit Card,2024-10-30,764.15,76.621874618095
3308,Customer_22,Male,33,Single,Maharashtra,Delhi,IT,Flower Pots,1112,1,15,Cash,2024-10-29,945.1999999999999,151.19429173093218
3769,Customer_23,Male,56,Single,Maharashtra,Lucknow,Healthcare,Flower Pots,883,4,18,UPI,2024-10-30,2896.2400000000002,664.0839331762879
3343,Customer_24,Female,22,Single,Bihar,Delhi,Business,Sparklers,559,3,6,Cash,2024-10-31,1576.3799999999999,464.7781274686458
3491,Customer_25,Male,39,Single,Maharashtra,Mumbai,Student,Bombs,837,4,21,Net Banking,2024-10-29,2644.92,712.5736245012512
3413,Customer_26,Female,46,Married,Madhya Pradesh,Bhopal,Education,Rockets,608,3,11,Debit Card,2024-10-25,1623.3600000000001,169.99662436139326
3805,Customer_27,Female,20,Married,Maharashtra,Patna,Education,Flower Pots,580,3,23,Debit Card,2024-11-01,1339.8,374.75829962867
3385,Customer_28,Male,29,Single,Bihar,Lucknow,Healthcare,Bombs,213,3,14,Cash,2024-10-28,549.54,141.03377120882536
3191,Customer_29,Male,43,Single,Maharashtra,Patna,IT,Sparklers,848,2,7,Credit Card,2024-11-02,1577.28,403.9023304372072
3955,Customer_30,Female,33,Married,Madhya Pradesh,Mumbai,Healthcare,Chakri,460,4,5,UPI,2024-11-03,1748.0,334.91531734764857
3276,Customer_31,Female,54,Single,Uttar Pradesh,Patna,Business,Bombs,440,3,9,Debit Card,2024-10-30,1201.2,215.73679157938975
3160,Customer_32,Male,39,Single,Bihar,Lucknow,Business,Bombs,869,1,2,Net Banking,2024-10-25,851.62,136.7558185977847
3459,Customer_33,Female,46,Married,Uttar Pradesh,Mumbai,Student,Chakri,860,2,18,Net Banking,2024-10-27,1410.4,159.5712058138475
3313,Customer_34,Male,31,Single,Uttar Pradesh,Patna,Student,Bombs,1068,4,16,Credit Card,2024-10-27,3588.48,522.6516074379739
3021,Customer_35,Female,45,Single,Uttar Pradesh,Bhopal,Business,Sparklers,548,3,6,Debit Card,2024-11-03,1545.36,230.754278669928
3252,Customer_36,Male,22,Married,Delhi,Mumbai,Business,Sparklers,934,1,20,Cash,2024-10-28,747.2,147.06047729749255
3747,Customer_37,Male,47,Married,Delhi,Mumbai,Business,Chakri,410,4,19,Net Banking,2024-10-30,1328.4,331.4210299446097
3856,Customer_38,Male,22,Married,Uttar Pradesh,Bhopal,Healthcare,Rockets,361,4,3,Credit Card,2024-10-31,1400.68,272.7991900880872
3560,Customer_39,Female,29,Single,Bihar,Delhi,Business,Flower Pots,505,2,13,Debit Card,2024-11-03,878.7,98.03558354584402
3474,Customer_40,Female,33,Married,Madhya Pradesh,Lucknow,Education,Rockets,242,4,19,Debit Card,2024-10-28,784.08,228.6047654317662
3058,Customer_41,Male,43,Married,Madhya Pradesh,Delhi,IT,Bombs,441,2,21,Debit Card,2024-10-30,696.7800000000001,201.05229021167912
3510,Customer_42,Female,43,Married,Maharashtra,Patna,Business,Flower Pots,343,3,14,Debit Card,2024-10-25,884.9399999999999,227.4631268627505
3681,Customer_43,Male,38,Married,Bihar,Bhopal,IT,Chakri,589,2,23,Debit Card,2024-11-01,907.0600000000001,270.5447772785684
3475,Customer_44,Male,56,Married,Delhi,Delhi,Healthcare,Chakri,111,1,7,Net Banking,2024-10-31,103.22999999999999,21.564382242994224
3699,Customer_45,Female,53,Married,Uttar Pradesh,Mumbai,IT,Flower Pots,660,2,20,Credit Card,2024-11-02,1056.0,308.9366755734771
3975,Customer_46,Female,50,Single,Maharashtra,Patna,Healthcare,Sparklers,141,1,14,Debit Card,2024-10-27,121.26,13.95957344503744
3782,Customer_47,Male,47,Single,Madhya Pradesh,Patna,Education,Flower Pots,777,2,21,UPI,2024-10-26,1227.66,212.55232548211103
3189,Customer_48,Female,54,Married,Delhi,Delhi,Healthcare,Bombs,693,4,19,UPI,2024-10-25,2245.32,325.7426137361903
3957,Customer_49,Female,40,Married,Delhi,Delhi,Healthcare,Sparklers,233,3,13,Credit Card,2024-10-27,608.13,84.63139469091472
3686,Customer_50,Male,27,Married,Uttar Pradesh,Bhopal,Student,Chakri,1190,1,8,Cash,2024-10-29,1094.8,140.31021368954035
3957,Customer_51,Male,22,Single,Madhya Pradesh,Lucknow,Business,Flower Pots,1130,2,7,Cash,2024-10-26,2101.7999999999997,471.81779836868225
3562,Customer_52,Female,53,Single,Bihar,Delhi,Business,Rockets,1047,2,16,Cash,2024-10-27,1758.96,450.7587782770559
3875,Customer_53,Male,51,Single,Delhi,Delhi,Education,Rockets,172,2,1,UPI,2024-10-28,340.56,73.44506058131961
3566,Customer_54,Male,48,Single,Uttar Pradesh,Mumbai,Education,Bombs,498,4,24,Cash,2024-10-31,1513.92,195.8899570599565
3243,Customer_55,Female,27,Single,Bihar,Patna,Business,Rockets,677,4,23,Net Banking,2024-10-27,2085.16,546.7805680228953
3831,Customer_56,Male,36,Single,Madhya Pradesh,Lucknow,Student,Flower Pots,958,1,2,Debit Card,2024-11-02,938.84,213.29594345471895
3504,Customer_57,Male,49,Single,Delhi,Mumbai,Business,Flower Pots,229,1,7,UPI,2024-11-01,212.97,37.83053008677325
3130,Customer_58,Female,18,Single,Bihar,Bhopal,Student,Rockets,1030,4,11,Credit Card,2024-10-28,3666.8,861.0601935343271
3484,Customer_59,Female,22,Single,Bihar,Bhopal,Education,Flower Pots,365,1,0,Credit Card,2024-10-25,365.0,55.473063484726794
3818,Customer_60,Male,21,Married,Bihar,Delhi,IT,Bombs,892,3,9,Debit Card,2024-10-25,2435.1600000000003,411.6356516873524
3646,Customer_61,Male,33,Married,Delhi,Delhi,Education,Sparklers,352,3,19,UPI,2024-10-25,855.36,242.49213815627584
3020,Customer_62,Female,41,Married,Delhi,Bhopal,Education,Bombs,921,4,2,Cash,2024-10-25,3610.3199999999997,570.7948453831284
3840,Customer_63,Female,33,Married,Maharashtra,Delhi,Healthcare,Bombs,263,1,5,Cash,2024-11-01,249.85,48.4703137598521
3166,Customer_64,Female,19,Single,Madhya Pradesh,Lucknow,Healthcare,Flower Pots,194,2,6,Net Banking,2024-10-27,364.71999999999997,101.40245512621487
3273,Customer_65,Female,45,Single,Uttar Pradesh,Delhi,Healthcare,Sparklers,932,3,19,Net Banking,2024-10-30,2264.76,547.0398010463771
3387,Customer_66,Male,49,Married,Bihar,Patna,Healthcare,Flower Pots,435,4,22,Cash,2024-10-27,1357.2,152.60444371014694
3600,Customer_67,Female,44,Single,Maharashtra,Delhi,Student,Chakri,921,1,24,Credit Card,2024-10-29,699.96,90.61724777470162
3315,Customer_68,Female,37,Married,Uttar Pradesh,Mumbai,Business,Flower Pots,337,4,17,Credit Card,2024-10-31,1118.84,113.63869708385029
3013,Customer_69,Male,41,Single,Maharashtra,Lucknow,IT,Flower Pots,480,2,10,Net Banking,2024-10-26,864.0,195.42328535159942
3241,Customer_70,Female,29,Married,Delhi,Mumbai,Education,Flower Pots,998,3,18,Debit Card,2024-10-30,2455.0800000000004,465.322814651322
3776,Customer_71,Male,52,Single,Bihar,Mumbai,Student,Sparklers,582,4,4,Cash,2024-10-30,2234.88,283.5056357568955
3345,Customer_72,Female,50,Single,Uttar Pradesh,Patna,IT,Flower Pots,1001,4,18,Net Banking,2024-10-27,3283.28,957.3611881966547
3564,Customer_73,Female,50,Married,Uttar Pradesh,Lucknow,Student,Sparklers,1148,4,10,Net Banking,2024-10-30,4132.8,851.0755414244916
3897,Customer_74,Female,54,Single,Uttar Pradesh,Lucknow,Student,Rockets,581,2,23,Cash,2024-11-03,894.74,132.7603211949133
3339,Customer_75,Male,29,Married,Uttar Pradesh,Lucknow,Education,Chakri,1016,4,11,Cash,2024-11-03,3616.96,723.8286185447463
3091,Customer_76,Male,20,Married,Uttar Pradesh,Lucknow,Business,Sparklers,1093,2,9,Credit Card,2024-10-29,1989.26,469.3143086193281
3366,Customer_77,Female,18,Married,Maharashtra,Lucknow,Healthcare,Rockets,1063,2,7,Debit Card,2024-10-26,1977.1799999999998,227.86573139859445
3955,Customer_78,Male,50,Married,Bihar,Patna,Business,Sparklers,636,2,23,Debit Card,2024-11-02,979.44,151.7551809221015
3454,Customer_79,Male,57,Single,Delhi,Delhi,Education,Sparklers,1135,3,8,Cash,2024-11-01,3132.6,818.8400193486395
3427,Customer_80,Male,27,Single,Delhi,Mumbai,Education,Chakri,227,3,3,UPI,2024-10-27,660.5699999999999,126.78516468837717
3508,Customer_81,Male,46,Single,Delhi,Lucknow,Education,Bombs,191,4,4,Net Banking,2024-11-01,733.4399999999999,153.52030781043325
3775,Customer_82,Male,30,Married,Delhi,Delhi,IT,Bombs,642,4,20,Net Banking,2024-11-02,2054.4,383.2754389878267
3942,Customer_83,Male,29,Single,Maharashtra,Delhi,Business,Sparklers,945,3,7,Cash,2024-10-27,2636.5499999999997,286.803878755083
3034,Customer_84,Female,48,Married,Madhya Pradesh,Mumbai,Business,Flower Pots,1088,1,22,UPI,2024-10-27,848.64,112.99637862931542
3205,Customer_85,Female,19,Single,Bihar,Patna,Student,Rockets,546,3,8,Credit Card,2024-10-26,1506.96,284.97868558369595
