CustomerID,CustomerName,Gender,Age,Marital_Status,State,City,Occupation,Product_Name,Price,Quantity_Sold,Discount(%),PaymentMode,Date,Total_Amount,Profit
2121,Customer_10,Male,54,Single,Madhya Pradesh,Mumbai,Student,Saree,536,1,5,Debit Card,2024-10-29,509.2,78.10595019235492
2466,Customer_11,Female,43,Single,Uttar Pradesh,Bhopal,Healthcare,Saree,4743,4,1,Net Banking,2024-11-01,18782.28,5710.407435504214
2330,Customer_13,Male,26,Married,Uttar Pradesh,Mumbai,Healthcare,Saree,4243,2,9,Debit Card,2024-10-25,7722.26,1343.9932954297321
2130,Customer_20,Female,57,Married,Delhi,Mumbai,IT,Saree,2066,2,1,Debit Card,2024-10-30,4090.68,917.7352997774854
2491,Customer_25,Male,39,Single,Maharashtra,Mumbai,Student,Saree,3085,1,18,Net Banking,2024-10-29,2529.7000000000003,808.016954804234
2385,Customer_28,Male,29,Single,Bihar,Lucknow,Healthcare,Saree,4876,4,11,Cash,2024-10-28,17358.56,5322.8233298298
2276,Customer_31,Female,54,Single,Uttar Pradesh,Patna,Business,Saree,640,3,7,Debit Card,2024-10-30,1785.6,409.975650219912
2160,Customer_32,Male,39,Single,Bihar,Lucknow,Business,Saree,3117,2,5,Net Banking,2024-10-25,5922.299999999999,1247.136564173763
2313,Customer_34,Male,31,Single,Uttar Pradesh,Patna,Student,Saree,2025,3,2,Credit Card,2024-10-27,5953.5,1164.7848473119475
2058,Customer_41,Male,43,Married,Madhya Pradesh,Delhi,IT,Saree,2490,4,13,Debit Card,2024-10-30,8665.2,2933.5589539628604
2189,Customer_48,Female,54,Married,Delhi,Delhi,Healthcare,Saree,3025,2,14,UPI,2024-10-25,5203.0,1014.9817474878405
2566,Customer_54,Male,48,Single,Uttar Pradesh,Mumbai,Education,Saree,433,2,16,Cash,2024-10-31,727.4399999999999,130.49731069256944
2818,Customer_60,Male,21,Married,Bihar,Delhi,IT,Saree,3278,1,11,Debit Card,2024-10-25,2917.42,639.027130581036
2020,Customer_62,Female,41,Married,Delhi,Bhopal,Education,Saree,2285,1,9,Cash,2024-10-25,2079.35,432.71460877357356
2840,Customer_63,Female,33,Married,Maharashtra,Delhi,Healthcare,Saree,1092,3,19,Cash,2024-11-01,2653.5600000000004,647.462413770635
2508,Customer_81,Male,46,Single,Delhi,Lucknow,Education,Saree,1145,2,8,Net Banking,2024-11-01,2106.8,546.3257445667277
2775,Customer_82,Male,30,Married,Delhi,Delhi,IT,Saree,3903,3,3,Net Banking,2024-11-02,11357.73,2686.8209585549107
2389,Customer_92,Female,43,Single,Uttar Pradesh,Patna,Student,Saree,2253,4,7,Net Banking,2024-10-27,8381.16,1662.7838091056014
2105,Customer_94,Male,43,Single,Bihar,Delhi,Education,Saree,989,4,9,Credit Card,2024-10-28,3599.96,681.7789318008328
2771,Customer_95,Male,51,Married,Delhi,Delhi,IT,Saree,2250,2,19,Cash,2024-11-02,3645.0000000000005,1240.3423317537759
2729,Customer_100,Female,46,Married,Bihar,Lucknow,Education,Saree,1479,4,15,Net Banking,2024-11-01,5028.599999999999,1015.3163621758574
2995,Customer_105,Male,27,Married,Madhya Pradesh,Lucknow,Business,Saree,908,4,10,Debit Card,2024-10-27,3268.8,1131.7748225617177
