CustomerID,CustomerName,Gender,Age,Marital_Status,State,City,Occupation,Product_Name,Price,Quantity_Sold,Discount(%),PaymentMode,Date,Total_Amount,Profit
2102,Customer_1,Female,33,Married,Delhi,Mumbai,Student,Kurti,2793,4,10,Net Banking,2024-10-26,10054.800000000001,3445.778433455305
2435,Customer_2,Female,30,Married,Bihar,Mumbai,Education,T-Shirt,932,2,8,Cash,2024-11-01,1714.88,435.2476153097121
2860,Customer_3,Male,59,Single,Madhya Pradesh,Patna,Student,Kurti,2402,3,6,Debit Card,2024-10-30,6773.639999999999,1933.9314809101327
2270,Customer_4,Female,47,Married,Bihar,Patna,Healthcare,Shirt,3259,3,21,Credit Card,2024-11-02,7723.83,1640.331184338832
2106,Customer_5,Male,36,Single,Maharashtra,Mumbai,IT,Shirt,3383,3,16,Credit Card,2024-11-01,8525.16,2598.454067474561
2071,Customer_6,Male,34,Married,Madhya Pradesh,Patna,Education,Kurti,2231,2,16,UPI,2024-11-03,3748.08,1141.6063095580457
2700,Customer_7,Female,36,Married,Delhi,Delhi,Healthcare,Kurti,4019,1,1,Net Banking,2024-10-27,3978.81,1011.6490854733528
2020,Customer_8,Male,45,Married,Madhya Pradesh,Mumbai,Healthcare,Shirt,2862,4,5,Net Banking,2024-10-29,10875.6,3754.2871872910832
2614,Customer_9,Male,43,Married,Uttar Pradesh,Patna,Education,T-Shirt,1979,1,13,Net Banking,2024-10-31,1721.73,301.49221425266063
2121,Customer_10,Male,54,Single,Madhya Pradesh,Mumbai,Student,Saree,536,1,5,Debit Card,2024-10-29,509.2,78.10595019235492
2466,Customer_11,Female,43,Single,Uttar Pradesh,Bhopal,Healthcare,Saree,4743,4,1,Net Banking,2024-11-01,18782.28,5710.407435504214
2214,Customer_12,Female,40,Married,Madhya Pradesh,Lucknow,Business,Kurti,1840,4,0,Credit Card,2024-10-29,7360.0,2292.1329510011074
2330,Customer_13,Male,26,Married,Uttar Pradesh,Mumbai,Healthcare,Saree,4243,2,9,Debit Card,2024-10-25,7722.26,1343.9932954297321
2458,Customer_14,Female,29,Single,Maharashtra,Lucknow,Student,Shirt,663,2,20,Cash,2024-10-29,1060.8,215.46605384049784
2087,Customer_15,Female,18,Single,Bihar,Patna,Student,Shirt,2668,2,4,Net Banking,2024-10-28,5122.5599999999995,786.3666068974716
2372,Customer_16,Female,18,Single,Delhi,Lucknow,Business,Kurti,585,2,1,Net Banking,2024-10-30,1158.3,241.6928727734256
2099,Customer_17,Female,51,Single,Madhya Pradesh,Mumbai,Healthcare,Kurti,448,2,21,Cash,2024-10-27,707.84,215.6281488069185
2871,Customer_18,Male,49,Married,Bihar,Bhopal,Student,Kurti,4337,4,15,Net Banking,2024-10-29,14745.8,3739.4184699088287
2663,Customer_19,Male,42,Single,Delhi,Patna,Education,T-Shirt,4851,1,24,Cash,2024-10-26,3686.76,809.6829818138235
2130,Customer_20,Female,57,Married,Delhi,Mumbai,IT,Saree,2066,2,1,Debit Card,2024-10-30,4090.68,917.7352997774854
2661,Customer_21,Female,18,Single,Uttar Pradesh,Patna,IT,Kurti,1312,2,9,Credit Card,2024-10-30,2387.84,358.82244832568466
2308,Customer_22,Male,33,Single,Maharashtra,Delhi,IT,Pants,3131,1,1,Cash,2024-10-29,3099.69,650.8112394577372
2769,Customer_23,Male,56,Single,Maharashtra,Lucknow,Healthcare,Pants,2807,2,15,UPI,2024-10-30,4771.9,1332.7522938444079
2343,Customer_24,Female,22,Single,Bihar,Delhi,Business,Shirt,1823,1,15,Cash,2024-10-31,1549.55,534.3451000831271
2491,Customer_25,Male,39,Single,Maharashtra,Mumbai,Student,Saree,3085,1,18,Net Banking,2024-10-29,2529.7000000000003,808.016954804234
2413,Customer_26,Female,46,Married,Madhya Pradesh,Bhopal,Education,Kurti,2856,4,6,Debit Card,2024-10-25,10738.56,1661.4591887087786
2805,Customer_27,Female,20,Married,Maharashtra,Patna,Education,Pants,4025,3,21,Debit Card,2024-11-01,9539.25,3145.206349628892
2385,Customer_28,Male,29,Single,Bihar,Lucknow,Healthcare,Saree,4876,4,11,Cash,2024-10-28,17358.56,5322.8233298298
2191,Customer_29,Male,43,Single,Maharashtra,Patna,IT,Shirt,1901,3,23,Credit Card,2024-11-02,4391.31,1344.0711950396965
2955,Customer_30,Female,33,Married,Madhya Pradesh,Mumbai,Healthcare,T-Shirt,2708,3,14,UPI,2024-11-03,6986.64,1687.9662979369425
2276,Customer_31,Female,54,Single,Uttar Pradesh,Patna,Business,Saree,640,3,7,Debit Card,2024-10-30,1785.6,409.975650219912
2160,Customer_32,Male,39,Single,Bihar,Lucknow,Business,Saree,3117,2,5,Net Banking,2024-10-25,5922.299999999999,1247.136564173763
2459,Customer_33,Female,46,Married,Uttar Pradesh,Mumbai,Student,T-Shirt,2796,4,9,Net Banking,2024-10-27,10177.44,1660.337097063304
2313,Customer_34,Male,31,Single,Uttar Pradesh,Patna,Student,Saree,2025,3,2,Credit Card,2024-10-27,5953.5,1164.7848473119475
2021,Customer_35,Female,45,Single,Uttar Pradesh,Bhopal,Business,Shirt,1989,1,18,Debit Card,2024-11-03,1630.98,325.0881193152917
2252,Customer_36,Male,22,Married,Delhi,Mumbai,Business,Shirt,3567,2,16,Cash,2024-10-28,5992.5599999999995,1479.056176972513
2747,Customer_37,Male,47,Married,Delhi,Mumbai,Business,T-Shirt,4706,4,6,Net Banking,2024-10-30,17694.559999999998,5299.323979837919
2856,Customer_38,Male,22,Married,Uttar Pradesh,Bhopal,Healthcare,Kurti,561,3,20,Credit Card,2024-10-31,1346.4,329.5475105909991
2560,Customer_39,Female,29,Single,Bihar,Delhi,Business,Pants,1742,1,19,Debit Card,2024-11-03,1411.02,227.97693501178648
2474,Customer_40,Female,33,Married,Madhya Pradesh,Lucknow,Education,Kurti,705,4,3,Debit Card,2024-10-28,2735.4,934.2976443246265
2058,Customer_41,Male,43,Married,Madhya Pradesh,Delhi,IT,Saree,2490,4,13,Debit Card,2024-10-30,8665.2,2933.5589539628604
2510,Customer_42,Female,43,Married,Maharashtra,Patna,Business,Pants,4737,2,19,Debit Card,2024-10-25,7673.9400000000005,2356.1904885496597
2681,Customer_43,Male,38,Married,Bihar,Bhopal,IT,T-Shirt,543,4,21,Debit Card,2024-11-01,1715.88,597.581943947203
2475,Customer_44,Male,56,Married,Delhi,Delhi,Healthcare,T-Shirt,4885,2,14,Net Banking,2024-10-31,8402.2,2175.299891330874
2699,Customer_45,Female,53,Married,Uttar Pradesh,Mumbai,IT,Pants,4407,3,23,Credit Card,2024-11-02,10180.17,3487.2545952394357
2975,Customer_46,Female,50,Single,Maharashtra,Patna,Healthcare,Shirt,860,2,7,Debit Card,2024-10-27,1599.6,264.1275645941109
2782,Customer_47,Male,47,Single,Madhya Pradesh,Patna,Education,Pants,4437,1,20,UPI,2024-10-26,3549.6000000000004,792.0440768057127
2189,Customer_48,Female,54,Married,Delhi,Delhi,Healthcare,Saree,3025,2,14,UPI,2024-10-25,5203.0,1014.9817474878405
2957,Customer_49,Female,40,Married,Delhi,Delhi,Healthcare,Shirt,893,1,21,Credit Card,2024-10-27,705.47,133.45137317284068
2686,Customer_50,Male,27,Married,Uttar Pradesh,Bhopal,Student,T-Shirt,2126,2,19,Cash,2024-10-29,3444.1200000000003,613.6064504680488
2957,Customer_51,Male,22,Single,Madhya Pradesh,Lucknow,Business,Pants,3529,4,13,Cash,2024-10-26,12280.92,3370.900427796136
2562,Customer_52,Female,53,Single,Bihar,Delhi,Business,Kurti,3587,3,8,Cash,2024-10-27,9900.12,3032.0540261042024
2875,Customer_53,Male,51,Single,Delhi,Delhi,Education,Kurti,4373,1,7,UPI,2024-10-28,4066.89,1080.408695523734
2566,Customer_54,Male,48,Single,Uttar Pradesh,Mumbai,Education,Saree,433,2,16,Cash,2024-10-31,727.4399999999999,130.49731069256944
2243,Customer_55,Female,27,Single,Bihar,Patna,Business,Kurti,3438,2,1,Net Banking,2024-10-27,6807.24,2125.388834328384
2831,Customer_56,Male,36,Single,Madhya Pradesh,Lucknow,Student,Pants,4219,2,24,Debit Card,2024-11-02,6412.88,1777.5922444952262
2504,Customer_57,Male,49,Single,Delhi,Mumbai,Business,Pants,372,4,23,UPI,2024-11-01,1145.76,260.8129478904133
2130,Customer_58,Female,18,Single,Bihar,Bhopal,Student,Kurti,4794,4,2,Credit Card,2024-10-28,18792.48,5352.58801925111
2484,Customer_59,Female,22,Single,Bihar,Bhopal,Education,Pants,4525,1,7,Credit Card,2024-10-25,4208.25,849.9865257797302
2818,Customer_60,Male,21,Married,Bihar,Delhi,IT,Saree,3278,1,11,Debit Card,2024-10-25,2917.42,639.027130581036
2646,Customer_61,Male,33,Married,Delhi,Delhi,Education,Shirt,4661,4,0,UPI,2024-10-25,18644.0,6217.721211870565
2020,Customer_62,Female,41,Married,Delhi,Bhopal,Education,Saree,2285,1,9,Cash,2024-10-25,2079.35,432.71460877357356
2840,Customer_63,Female,33,Married,Maharashtra,Delhi,Healthcare,Saree,1092,3,19,Cash,2024-11-01,2653.5600000000004,647.462413770635
2166,Customer_64,Female,19,Single,Madhya Pradesh,Lucknow,Healthcare,Pants,4559,3,2,Net Banking,2024-10-27,13403.46,4396.713225888397
2273,Customer_65,Female,45,Single,Uttar Pradesh,Delhi,Healthcare,Shirt,394,4,5,Net Banking,2024-10-30,1497.1999999999998,436.50008112410836
2387,Customer_66,Male,49,Married,Bihar,Patna,Healthcare,Pants,1433,1,6,Cash,2024-10-27,1347.02,218.8107979416756
2600,Customer_67,Female,44,Single,Maharashtra,Delhi,Student,T-Shirt,537,2,19,Credit Card,2024-10-29,869.94,156.1199620680095
2315,Customer_68,Female,37,Married,Uttar Pradesh,Mumbai,Business,Pants,3246,3,22,Credit Card,2024-10-31,7595.64,1151.2583801061603
2013,Customer_69,Male,41,Single,Maharashtra,Lucknow,IT,Pants,2830,4,24,Net Banking,2024-10-26,8603.2,2376.0692691399076
2241,Customer_70,Female,29,Married,Delhi,Mumbai,Education,Pants,2260,1,17,Debit Card,2024-10-30,1875.8,449.31916227697246
2776,Customer_71,Male,52,Single,Bihar,Mumbai,Student,Shirt,1348,4,10,Cash,2024-10-30,4852.8,858.2417992917125
2345,Customer_72,Female,50,Single,Uttar Pradesh,Patna,IT,Pants,2829,2,18,Net Banking,2024-10-27,4639.56,1584.81256613803
2564,Customer_73,Female,50,Married,Uttar Pradesh,Lucknow,Student,Shirt,3264,3,4,Net Banking,2024-10-30,9400.32,2405.8421792400977
2897,Customer_74,Female,54,Single,Uttar Pradesh,Lucknow,Student,Kurti,1263,4,18,Cash,2024-11-03,4142.64,821.8113671847639
2339,Customer_75,Male,29,Married,Uttar Pradesh,Lucknow,Education,T-Shirt,836,4,10,Cash,2024-11-03,3009.6,752.7633015494415
2091,Customer_76,Male,20,Married,Uttar Pradesh,Lucknow,Business,Shirt,4523,4,23,Credit Card,2024-10-29,13930.84,3983.1624232159093
2366,Customer_77,Female,18,Married,Maharashtra,Lucknow,Healthcare,Kurti,3979,2,11,Debit Card,2024-10-26,7082.62,1170.3876820007854
2955,Customer_78,Male,50,Married,Bihar,Patna,Business,Shirt,4487,4,9,Debit Card,2024-11-02,16332.68,3347.231901191281
2454,Customer_79,Male,57,Single,Delhi,Delhi,Education,Shirt,4024,2,7,Cash,2024-11-01,7484.639999999999,2330.6652383379947
2427,Customer_80,Male,27,Single,Delhi,Mumbai,Education,T-Shirt,842,2,23,UPI,2024-10-27,1296.68,313.7096488307445
2508,Customer_81,Male,46,Single,Delhi,Lucknow,Education,Saree,1145,2,8,Net Banking,2024-11-01,2106.8,546.3257445667277
2775,Customer_82,Male,30,Married,Delhi,Delhi,IT,Saree,3903,3,3,Net Banking,2024-11-02,11357.73,2686.8209585549107
2942,Customer_83,Male,29,Single,Maharashtra,Delhi,Business,Shirt,3336,3,4,Cash,2024-10-27,9607.68,1525.5073201864693
2034,Customer_84,Female,48,Married,Madhya Pradesh,Mumbai,Business,Pants,2794,4,20,UPI,2024-10-27,8940.800000000001,1637.50712628321
2205,Customer_85,Female,19,Single,Bihar,Patna,Student,Kurti,4785,4,7,Credit Card,2024-10-26,17800.199999999997,4256.17605558668
2080,Customer_86,Male,52,Single,Uttar Pradesh,Bhopal,Student,Pants,3019,3,22,Cash,2024-11-01,7064.46,1355.225470591138
2931,Customer_87,Female,40,Single,Madhya Pradesh,Bhopal,Student,Pants,2184,1,8,Cash,2024-11-03,2009.2800000000002,321.4763725410639
2561,Customer_88,Female,34,Married,Delhi,Delhi,Education,Shirt,4438,3,14,Net Banking,2024-10-25,11450.039999999999,3649.470479875988
2871,Customer_89,Female,43,Single,Madhya Pradesh,Mumbai,Business,Shirt,4649,2,14,Cash,2024-11-01,7996.28,2768.6200394208868
2387,Customer_90,Female,25,Single,Bihar,Bhopal,Education,Shirt,3501,3,15,Cash,2024-10-31,8927.55,2755.297032949918
