CustomerID,CustomerName,Gender,Age,Marital_Status,State,City,Occupation,Product_Name,Price,Quantity_Sold,Discount(%),PaymentMode,Date,Total_Amount,Profit
3102,Customer_1,Female,33,Married,Delhi,Mumbai,Student,Jhalar Lights,545,4,21,Debit Card,2024-10-29,1722.2,395.31832464091264
3860,Customer_3,Male,59,Single,Madhya Pradesh,Patna,Student,Jhalar Lights,732,3,2,UPI,2024-10-29,2152.08,539.7515786017345
3071,Customer_6,Male,34,Married,Madhya Pradesh,Patna,Education,Jhalar Lights,1135,2,23,Credit Card,2024-11-03,1747.9,500.18161499589854
3700,Customer_7,Female,36,Married,Delhi,Delhi,Healthcare,Jhalar Lights,756,3,9,Credit Card,2024-10-29,2063.88,258.2839608575352
3214,Customer_12,Female,40,Married,Madhya Pradesh,Lucknow,Business,Jhalar Lights,447,3,24,Net Banking,2024-10-26,1019.16,197.3407949296716
3372,Customer_16,Female,18,Single,Delhi,Lucknow,Business,Jhalar Lights,1371,2,8,Debit Card,2024-10-25,2522.6400000000003,588.7169025144354
3099,Customer_17,Female,51,Single,Madhya Pradesh,Mumbai,Healthcare,Jhalar Lights,463,1,12,Cash,2024-10-30,407.44,107.83383881723064
3871,Customer_18,Male,49,Married,Bihar,Bhopal,Student,Jhalar Lights,420,2,3,Cash,2024-10-28,814.8,208.91721898067632
3661,Customer_21,Female,18,Single,Uttar Pradesh,Patna,IT,Jhalar Lights,1207,4,19,Credit Card,2024-11-02,3910.6800000000003,929.2123291241246
3413,Customer_26,Female,46,Married,Madhya Pradesh,Bhopal,Education,Jhalar Lights,1284,4,3,Cash,2024-10-31,4981.92,1443.606928854845
3856,Customer_38,Male,22,Married,Uttar Pradesh,Bhopal,Healthcare,Jhalar Lights,860,2,15,Net Banking,2024-10-27,1462.0,224.34466895164726
3474,Customer_40,Female,33,Married,Madhya Pradesh,Lucknow,Education,Jhalar Lights,548,1,20,Cash,2024-11-01,438.40000000000003,55.37152164322802
