CustomerID,CustomerName,Gender,Age,Marital_Status,State,City,Occupation,Product_Name,Price,Quantity_Sold,Discount(%),PaymentMode,Date,Total_Amount,Profit
1121,Customer_10,Male,54,Single,Madhya Pradesh,Mumbai,Student,Kaju Katli,303,1,4,Net Banking,2024-10-26,290.88,33.33959295248363
1466,Customer_11,Female,43,Single,Uttar Pradesh,Bhopal,Healthcare,Kaju Katli,716,4,24,Cash,2024-11-01,2176.64,488.58744869929643
1330,Customer_13,Male,26,Married,Uttar Pradesh,Mumbai,Healthcare,Kaju Katli,563,2,0,UPI,2024-10-31,1126.0,155.41224273129546
1130,Customer_20,Female,57,Married,Delhi,Mumbai,IT,Kaju Katli,360,3,8,Cash,2024-11-01,993.6,249.8526843617557
1491,Customer_25,Male,39,Single,Maharashtra,Mumbai,Student,Kaju Katli,680,4,18,Debit Card,2024-10-31,2230.4,508.8056210774877
1385,Customer_28,Male,29,Single,Bihar,Lucknow,Healthcare,Kaju Katli,560,2,10,UPI,2024-10-30,1008.0,214.72119899047564
1276,Customer_31,Female,54,Single,Uttar Pradesh,Patna,Business,Kaju Katli,379,1,11,Debit Card,2024-10-31,337.31,34.54750046394976
1160,Customer_32,Male,39,Single,Bihar,Lucknow,Business,Kaju Katli,606,1,11,Debit Card,2024-10-25,539.34,54.9089615826451
1313,Customer_34,Male,31,Single,Uttar Pradesh,Patna,Student,Kaju Katli,665,5,20,Cash,2024-11-02,2660.0,758.735244405708
1058,Customer_41,Male,43,Married,Madhya Pradesh,Delhi,IT,Kaju Katli,515,2,20,Cash,2024-11-02,824.0,98.12180090121711
1189,Customer_48,Female,54,Married,Delhi,Delhi,Healthcare,Kaju Katli,241,2,8,UPI,2024-10-28,443.44,79.62733464253529
1566,Customer_54,Male,48,Single,Uttar Pradesh,Mumbai,Education,Kaju Katli,333,4,22,Debit Card,2024-10-26,1038.96,185.4456714329961
1818,Customer_60,Male,21,Married,Bihar,Delhi,IT,Kaju Katli,604,5,10,UPI,2024-10-31,2718.0,699.9116830728323
1020,Customer_62,Female,41,Married,Delhi,Bhopal,Education,Kaju Katli,329,5,2,Cash,2024-10-26,1612.1,343.07874837650274
1840,Customer_63,Female,33,Married,Maharashtra,Delhi,Healthcare,Kaju Katli,665,2,0,Debit Card,2024-10-31,1330.0,228.38187076561627
1508,Customer_81,Male,46,Single,Delhi,Lucknow,Education,Kaju Katli,736,4,3,Cash,2024-11-01,2855.68,718.9324344659435
1775,Customer_82,Male,30,Married,Delhi,Delhi,IT,Kaju Katli,278,1,24,Net Banking,2024-11-02,211.28,33.065153763748846
1389,Customer_92,Female,43,Single,Uttar Pradesh,Patna,Student,Kaju Katli,242,4,19,Credit Card,2024-10-28,784.08,171.10668963578755
1105,Customer_94,Male,43,Single,Bihar,Delhi,Education,Kaju Katli,329,1,3,Credit Card,2024-10-27,319.13,53.07544848266271
1771,Customer_95,Male,51,Married,Delhi,Delhi,IT,Kaju Katli,259,1,11,Cash,2024-10-27,230.51,62.469602355082245
1729,Customer_100,Female,46,Married,Bihar,Lucknow,Education,Kaju Katli,544,3,12,Debit Card,2024-10-29,1436.16,289.2197712366537
1995,Customer_105,Male,27,Married,Madhya Pradesh,Lucknow,Business,Kaju Katli,656,4,5,Cash,2024-10-25,2492.7999999999997,595.0902187341353
1815,Customer_108,Male,41,Single,Bihar,Mumbai,IT,Kaju Katli,348,2,23,Net Banking,2024-10-31,535.92,69.84056649737384
