CustomerID,CustomerName,Gender,Age,Marital_Status,State,City,Occupation,Product_Name,Price,Quantity_Sold,Discount(%),PaymentMode,Date,Total_Amount,Profit
1270,Customer_4,Female,47,Married,Bihar,Patna,Healthcare,Ladoo,599,2,20,Credit Card,2024-10-27,958.4000000000001,232.26302740540262
1106,Customer_5,Male,36,Single,Maharashtra,Mumbai,IT,Ladoo,714,2,12,Debit Card,2024-11-01,1256.64,372.25289182377503
1020,Customer_8,Male,45,Married,Madhya Pradesh,Mumbai,Healthcare,Ladoo,478,5,5,Net Banking,2024-10-27,2270.5,425.48983168075836
1458,Customer_14,Female,29,Single,Maharashtra,Lucknow,Student,Ladoo,520,2,3,Debit Card,2024-10-26,1008.8,260.7939906623442
1087,Customer_15,Female,18,Single,Bihar,Patna,Student,Ladoo,485,3,24,UPI,2024-11-03,1105.8,311.37089723230065
1343,Customer_24,Female,22,Single,Bihar,Delhi,Business,Ladoo,708,1,5,UPI,2024-11-01,672.6,100.5322192839831
1191,Customer_29,Male,43,Single,Maharashtra,Patna,IT,Ladoo,540,2,1,Net Banking,2024-10-31,1069.2,271.92469864366547
1021,Customer_35,Female,45,Single,Uttar Pradesh,Bhopal,Business,Ladoo,510,1,23,Debit Card,2024-10-29,392.7,57.23027427006743
1252,Customer_36,Male,22,Married,Delhi,Mumbai,Business,Ladoo,461,4,1,UPI,2024-10-29,1825.56,414.1697951713194
1975,Customer_46,Female,50,Single,Maharashtra,Patna,Healthcare,Ladoo,438,2,19,Net Banking,2024-11-03,709.5600000000001,87.7729443200609
1957,Customer_49,Female,40,Married,Delhi,Delhi,Healthcare,Ladoo,793,5,18,Credit Card,2024-11-01,3251.3,923.064244092843
1646,Customer_61,Male,33,Married,Delhi,Delhi,Education,Ladoo,777,3,14,Cash,2024-11-01,2004.66,301.1004865941206
1273,Customer_65,Female,45,Single,Uttar Pradesh,Delhi,Healthcare,Ladoo,465,4,15,Credit Card,2024-10-26,1581.0,234.11413625692688
1776,Customer_71,Male,52,Single,Bihar,Mumbai,Student,Ladoo,309,3,14,Cash,2024-10-25,797.22,85.92914907249774
1564,Customer_73,Female,50,Married,Uttar Pradesh,Lucknow,Student,Ladoo,437,3,5,Cash,2024-11-03,1245.45,168.19099121384053
1091,Customer_76,Male,20,Married,Uttar Pradesh,Lucknow,Business,Ladoo,682,2,0,Credit Card,2024-10-30,1364.0,395.68526173294066
1955,Customer_78,Male,50,Married,Bihar,Patna,Business,Ladoo,316,4,22,Debit Card,2024-10-31,985.9200000000001,184.68533239536438
1454,Customer_79,Male,57,Single,Delhi,Delhi,Education,Ladoo,681,3,22,Credit Card,2024-11-01,1593.54,344.2329523198325
