CustomerID,CustomerName,Gender,Age,Marital_Status,State,City,Occupation,Product_Name,Price,Quantity_Sold,Discount(%),PaymentMode,Date,Total_Amount,Profit
1102,Customer_1,Female,33,Married,Delhi,Mumbai,Student,Gulab Jamun,645,4,12,Net Banking,2024-10-26,2270.4,316.4600238782128
1435,Customer_2,Female,30,Married,Bihar,Mumbai,Education,Rasgulla,254,1,22,Cash,2024-10-28,198.12,57.51145480577724
1860,Customer_3,Male,59,Single,Madhya Pradesh,Patna,Student,Gulab Jamun,211,5,20,Debit Card,2024-10-30,844.0,252.32549682145253
1270,Customer_4,Female,47,Married,Bihar,Patna,Healthcare,Ladoo,599,2,20,Credit Card,2024-10-27,958.4000000000001,232.26302740540262
1106,Customer_5,Male,36,Single,Maharashtra,Mumbai,IT,Ladoo,714,2,12,Debit Card,2024-11-01,1256.64,372.25289182377503
1071,Customer_6,Male,34,Married,Madhya Pradesh,Patna,Education,Gulab Jamun,741,1,1,Net Banking,2024-10-27,733.59,156.9207373785263
1700,Customer_7,Female,36,Married,Delhi,Delhi,Healthcare,Gulab Jamun,436,4,3,Net Banking,2024-10-26,1691.68,256.9803287526657
1020,Customer_8,Male,45,Married,Madhya Pradesh,Mumbai,Healthcare,Ladoo,478,5,5,Net Banking,2024-10-27,2270.5,425.48983168075836
1614,Customer_9,Male,43,Married,Uttar Pradesh,Patna,Education,Rasgulla,547,3,22,Debit Card,2024-10-30,1279.98,279.9472252132277
1121,Customer_10,Male,54,Single,Madhya Pradesh,Mumbai,Student,Kaju Katli,303,1,4,Net Banking,2024-10-26,290.88,33.33959295248363
1466,Customer_11,Female,43,Single,Uttar Pradesh,Bhopal,Healthcare,Kaju Katli,716,4,24,Cash,2024-11-01,2176.64,488.58744869929643
1214,Customer_12,Female,40,Married,Madhya Pradesh,Lucknow,Business,Gulab Jamun,447,3,2,Net Banking,2024-10-25,1314.18,389.30685790325447
1330,Customer_13,Male,26,Married,Uttar Pradesh,Mumbai,Healthcare,Kaju Katli,563,2,0,UPI,2024-10-31,1126.0,155.41224273129546
1458,Customer_14,Female,29,Single,Maharashtra,Lucknow,Student,Ladoo,520,2,3,Debit Card,2024-10-26,1008.8,260.7939906623442
1087,Customer_15,Female,18,Single,Bihar,Patna,Student,Ladoo,485,3,24,UPI,2024-11-03,1105.8,311.37089723230065
1372,Customer_16,Female,18,Single,Delhi,Lucknow,Business,Gulab Jamun,348,1,19,Net Banking,2024-10-30,281.88,81.39012099683276
1099,Customer_17,Female,51,Single,Madhya Pradesh,Mumbai,Healthcare,Gulab Jamun,283,2,1,Cash,2024-10-26,560.34,163.63447691450963
1871,Customer_18,Male,49,Married,Bihar,Bhopal,Student,Gulab Jamun,605,5,4,Credit Card,2024-10-26,2904.0,593.263758169431
1663,Customer_19,Male,42,Single,Delhi,Patna,Education,Rasgulla,655,3,2,Net Banking,2024-11-03,1925.7,568.9703676838477
1130,Customer_20,Female,57,Married,Delhi,Mumbai,IT,Kaju Katli,360,3,8,Cash,2024-11-01,993.6,249.8526843617557
1661,Customer_21,Female,18,Single,Uttar Pradesh,Patna,IT,Gulab Jamun,659,2,19,Debit Card,2024-10-26,1067.5800000000002,141.27743837957118
1308,Customer_22,Male,33,Single,Maharashtra,Delhi,IT,Barfi,749,1,5,UPI,2024-10-31,711.55,139.0226541514568
1769,Customer_23,Male,56,Single,Maharashtra,Lucknow,Healthcare,Barfi,699,5,17,UPI,2024-10-27,2900.85,706.8391980155756
1343,Customer_24,Female,22,Single,Bihar,Delhi,Business,Ladoo,708,1,5,UPI,2024-11-01,672.6,100.5322192839831
1491,Customer_25,Male,39,Single,Maharashtra,Mumbai,Student,Kaju Katli,680,4,18,Debit Card,2024-10-31,2230.4,508.8056210774877
1413,Customer_26,Female,46,Married,Madhya Pradesh,Bhopal,Education,Gulab Jamun,313,4,11,Cash,2024-11-01,1114.28,259.98391635841335
1805,Customer_27,Female,20,Married,Maharashtra,Patna,Education,Barfi,777,2,24,Debit Card,2024-10-31,1181.04,156.53498108553373
1385,Customer_28,Male,29,Single,Bihar,Lucknow,Healthcare,Kaju Katli,560,2,10,UPI,2024-10-30,1008.0,214.72119899047564
1191,Customer_29,Male,43,Single,Maharashtra,Patna,IT,Ladoo,540,2,1,Net Banking,2024-10-31,1069.2,271.92469864366547
1955,Customer_30,Female,33,Married,Madhya Pradesh,Mumbai,Healthcare,Rasgulla,648,4,14,Credit Card,2024-10-29,2229.12,445.33166074607175
1276,Customer_31,Female,54,Single,Uttar Pradesh,Patna,Business,Kaju Katli,379,1,11,Debit Card,2024-10-31,337.31,34.54750046394976
1160,Customer_32,Male,39,Single,Bihar,Lucknow,Business,Kaju Katli,606,1,11,Debit Card,2024-10-25,539.34,54.9089615826451
1459,Customer_33,Female,46,Married,Uttar Pradesh,Mumbai,Student,Rasgulla,395,2,8,Cash,2024-10-25,726.8000000000001,124.57778543948098
1313,Customer_34,Male,31,Single,Uttar Pradesh,Patna,Student,Kaju Katli,665,5,20,Cash,2024-11-02,2660.0,758.735244405708
1021,Customer_35,Female,45,Single,Uttar Pradesh,Bhopal,Business,Ladoo,510,1,23,Debit Card,2024-10-29,392.7,57.23027427006743
1252,Customer_36,Male,22,Married,Delhi,Mumbai,Business,Ladoo,461,4,1,UPI,2024-10-29,1825.56,414.1697951713194
1747,Customer_37,Male,47,Married,Delhi,Mumbai,Business,Rasgulla,618,3,21,Credit Card,2024-10-27,1464.66,211.5191289539358
1856,Customer_38,Male,22,Married,Uttar Pradesh,Bhopal,Healthcare,Gulab Jamun,605,3,2,Cash,2024-10-29,1778.7,292.30088212148786
1560,Customer_39,Female,29,Single,Bihar,Delhi,Business,Barfi,342,3,11,UPI,2024-10-27,913.14,246.1902307397398
1474,Customer_40,Female,33,Married,Madhya Pradesh,Lucknow,Education,Gulab Jamun,541,5,15,Net Banking,2024-11-02,2299.25,565.091934227835
1058,Customer_41,Male,43,Married,Madhya Pradesh,Delhi,IT,Kaju Katli,515,2,20,Cash,2024-11-02,824.0,98.12180090121711
1510,Customer_42,Female,43,Married,Maharashtra,Patna,Business,Barfi,300,4,23,UPI,2024-10-30,924.0,171.62413347829292
1681,Customer_43,Male,38,Married,Bihar,Bhopal,IT,Rasgulla,443,5,0,UPI,2024-10-25,2215.0,234.42220529485218
1475,Customer_44,Male,56,Married,Delhi,Delhi,Healthcare,Rasgulla,689,4,20,Credit Card,2024-10-31,2204.8,432.5333190460629
1699,Customer_45,Female,53,Married,Uttar Pradesh,Mumbai,IT,Barfi,211,4,2,Credit Card,2024-10-31,827.12,192.29448395163746
1975,Customer_46,Female,50,Single,Maharashtra,Patna,Healthcare,Ladoo,438,2,19,Net Banking,2024-11-03,709.5600000000001,87.7729443200609
1782,Customer_47,Male,47,Single,Madhya Pradesh,Patna,Education,Barfi,760,3,1,UPI,2024-11-03,2257.2,356.1342168211537
1189,Customer_48,Female,54,Married,Delhi,Delhi,Healthcare,Kaju Katli,241,2,8,UPI,2024-10-28,443.44,79.62733464253529
1957,Customer_49,Female,40,Married,Delhi,Delhi,Healthcare,Ladoo,793,5,18,Credit Card,2024-11-01,3251.3,923.064244092843
1686,Customer_50,Male,27,Married,Uttar Pradesh,Bhopal,Student,Rasgulla,628,5,14,Cash,2024-10-30,2700.4,806.4771687296344
1957,Customer_51,Male,22,Single,Madhya Pradesh,Lucknow,Business,Barfi,357,5,17,Cash,2024-10-28,1481.55,161.46266700539095
1562,Customer_52,Female,53,Single,Bihar,Delhi,Business,Gulab Jamun,415,2,10,Debit Card,2024-10-28,747.0,188.39458377021154
1875,Customer_53,Male,51,Single,Delhi,Delhi,Education,Gulab Jamun,661,4,24,Credit Card,2024-10-26,2009.44,350.3354415983049
1566,Customer_54,Male,48,Single,Uttar Pradesh,Mumbai,Education,Kaju Katli,333,4,22,Debit Card,2024-10-26,1038.96,185.4456714329961
1243,Customer_55,Female,27,Single,Bihar,Patna,Business,Gulab Jamun,266,1,15,Credit Card,2024-10-28,226.1,56.71786209475236
1831,Customer_56,Male,36,Single,Madhya Pradesh,Lucknow,Student,Barfi,206,5,21,Net Banking,2024-10-29,813.7,230.83471756734383
1504,Customer_57,Male,49,Single,Delhi,Mumbai,Business,Barfi,725,4,16,UPI,2024-11-01,2436.0,706.8924112416416
1130,Customer_58,Female,18,Single,Bihar,Bhopal,Student,Gulab Jamun,272,1,4,Net Banking,2024-10-30,261.12,56.25164993326526
1484,Customer_59,Female,22,Single,Bihar,Bhopal,Education,Barfi,598,4,11,Credit Card,2024-10-28,2128.88,364.9416187223309
1818,Customer_60,Male,21,Married,Bihar,Delhi,IT,Kaju Katli,604,5,10,UPI,2024-10-31,2718.0,699.9116830728323
1646,Customer_61,Male,33,Married,Delhi,Delhi,Education,Ladoo,777,3,14,Cash,2024-11-01,2004.66,301.1004865941206
1020,Customer_62,Female,41,Married,Delhi,Bhopal,Education,Kaju Katli,329,5,2,Cash,2024-10-26,1612.1,343.07874837650274
1840,Customer_63,Female,33,Married,Maharashtra,Delhi,Healthcare,Kaju Katli,665,2,0,Debit Card,2024-10-31,1330.0,228.38187076561627
1166,Customer_64,Female,19,Single,Madhya Pradesh,Lucknow,Healthcare,Barfi,405,4,19,Credit Card,2024-10-26,1312.2,303.54625898389503
1273,Customer_65,Female,45,Single,Uttar Pradesh,Delhi,Healthcare,Ladoo,465,4,15,Credit Card,2024-10-26,1581.0,234.11413625692688
1387,Customer_66,Male,49,Married,Bihar,Patna,Healthcare,Barfi,736,2,1,Cash,2024-11-01,1457.28,201.5689135920894
1600,Customer_67,Female,44,Single,Maharashtra,Delhi,Student,Rasgulla,452,2,1,Net Banking,2024-10-26,894.96,253.8534506022098
1315,Customer_68,Female,37,Married,Uttar Pradesh,Mumbai,Business,Barfi,488,3,2,UPI,2024-11-02,1434.72,172.68395600027193
1013,Customer_69,Male,41,Single,Maharashtra,Lucknow,IT,Barfi,363,4,7,Net Banking,2024-10-25,1350.36,271.68106405778843
1241,Customer_70,Female,29,Married,Delhi,Mumbai,Education,Barfi,294,4,23,Net Banking,2024-11-02,905.52,130.54932240573277
1776,Customer_71,Male,52,Single,Bihar,Mumbai,Student,Ladoo,309,3,14,Cash,2024-10-25,797.22,85.92914907249774
1345,Customer_72,Female,50,Single,Uttar Pradesh,Patna,IT,Barfi,535,1,6,Cash,2024-11-03,502.9,53.91277274375167
1564,Customer_73,Female,50,Married,Uttar Pradesh,Lucknow,Student,Ladoo,437,3,5,Cash,2024-11-03,1245.45,168.19099121384053
1897,Customer_74,Female,54,Single,Uttar Pradesh,Lucknow,Student,Gulab Jamun,580,5,8,Debit Card,2024-10-26,2668.0,729.3086611644017
1339,Customer_75,Male,29,Married,Uttar Pradesh,Lucknow,Education,Rasgulla,635,4,19,Net Banking,2024-10-30,2057.4,321.97435357166694
1091,Customer_76,Male,20,Married,Uttar Pradesh,Lucknow,Business,Ladoo,682,2,0,Credit Card,2024-10-30,1364.0,395.68526173294066
1366,Customer_77,Female,18,Married,Maharashtra,Lucknow,Healthcare,Gulab Jamun,224,5,7,UPI,2024-10-25,1041.6,225.3235560755088
1955,Customer_78,Male,50,Married,Bihar,Patna,Business,Ladoo,316,4,22,Debit Card,2024-10-31,985.9200000000001,184.68533239536438
1454,Customer_79,Male,57,Single,Delhi,Delhi,Education,Ladoo,681,3,22,Credit Card,2024-11-01,1593.54,344.2329523198325
1427,Customer_80,Male,27,Single,Delhi,Mumbai,Education,Rasgulla,591,5,2,Net Banking,2024-10-26,2895.9,588.8513707553498
1508,Customer_81,Male,46,Single,Delhi,Lucknow,Education,Kaju Katli,736,4,3,Cash,2024-11-01,2855.68,718.9324344659435
1775,Customer_82,Male,30,Married,Delhi,Delhi,IT,Kaju Katli,278,1,24,Net Banking,2024-11-02,211.28,33.065153763748846
1942,Customer_83,Male,29,Single,Maharashtra,Delhi,Business,Ladoo,779,1,14,UPI,2024-10-30,669.9399999999999,114.29851586974131
